state,fec_candidate_id,selected_candidate_name,committee_id,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_end_date,party,party_normalized,selected_candidate,selection_method,selection_rank_within_state_party,manual_override_reason,ie_oppose_amount,ie_support_amount,ie_total_amount,ie_net_support_minus_oppose,schedule_a_rows_raw,schedule_a_unique_sub_ids,schedule_a_net_amount_raw,schedule_a_net_amount_deduped_by_sub_id,schedule_a_duplication_factor,schedule_a_suspect_repeated_page_fetch,schedule_a_manifest_status,schedule_a_manifest_pages_fetched,schedule_a_manifest_total_pages_reported,schedule_a_manifest_row_count,schedule_a_manifest_fetched_at,schedule_a_manifest_error
GA,S8GA00180,"OSSOFF, T. JONATHAN",C00718866,57270664.6,30525198.99,31736032.32,31736032.32,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,462124.63,12546.68,474671.31,-449577.95,263200.0,100.0,20180860.0,7667.5,2632.0,True,ok,2632,2632,263200,2026-05-05T22:15:45.979634+00:00,
GA,S6GA00366,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",C00857128,50250930.0,2234.41,50248695.59,50248695.59,50250000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3.0,3.0,900.0,900.0,1.0,False,ok,1,1,3,2026-05-05T22:15:47.703604+00:00,
TX,S6TX00479,"TALARICO, JAMES",C00919084,40284109.15,30425243.8,9858865.35,9858865.35,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,505023.93,4075756.64,4580780.57,3570732.71,84400.0,100.0,15492582.16,18356.14,844.0,True,ok,844,844,84400,2026-05-06T08:37:53.113562+00:00,
AZ,S0AZ00350,"KELLY, MARK",C00696526,35276811.97,17370707.12,22308538.42,22308538.42,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,7352.210000000001,45500.0,52852.21,38147.79,176600.0,100.0,9891366.0,5601.0,1766.0,True,ok,1766,1766,176600,2026-05-04T22:03:55.724183+00:00,
IL,S6IL00482,"KRISHNAMOORTHI, S",C00904466,31390858.87,28237935.72,3152923.15,3152923.15,116248.28,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,3335363.49,178621.8,3513985.29,-3156741.6900000004,9600.0,100.0,5130384.0,53441.5,96.0,True,ok,96,96,9600,2026-05-06T00:38:18.036845+00:00,
NC,S6NC00407,"COOPER, ROY",C00913566,26822372.69,8366909.64,18455463.05,18455463.05,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,522742.73,28210.89,550953.62,-494531.83999999997,33500.0,100.0,10251670.0,30602.0,335.0,True,ok,335,335,33500,2026-05-06T03:15:03.894022+00:00,
OH,S6OH00163,"BROWN, SHERROD",C00916288,25979968.48,8951326.24,17028642.24,17028642.24,0.0,2026-04-15T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,319165.55,13061.25,332226.8,-306104.3,66700.0,100.0,79960960.5,119881.5,667.0,True,ok,667,667,66700,2026-05-06T04:53:29.171362+00:00,
NJ,S4NJ00185,"BOOKER, CORY A.",C00540500,16808282.46,5829198.17,22171570.28,22171570.28,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,135.34,135.34,135.34,56000.0,100.0,6599600.0,11785.0,560.0,True,ok,560,560,56000,2026-05-06T04:12:14.910447+00:00,
FL,S6FL00756,"WEIL, JOSHUA JOSEPH",C00893321,15933478.15,15933478.15,0.0,0.0,0.0,2025-09-30T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,24100.0,100.0,3722245.0,15445.0,241.0,True,ok,241,241,24100,2026-05-05T18:01:14.550002+00:00,
VA,S6VA00093,"WARNER, MARK ROBERT",C00438713,14719667.27,5667867.07,14605034.02,14605034.02,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,80.0,80.0,80.0,36000.0,100.0,19058040.0,52939.0,360.0,True,ok,360,360,36000,2026-05-06T09:49:10.053524+00:00,
CT,S2CT00132,"MURPHY, CHRISTOPHER S",C00492645,12504647.66,6792067.91,11239354.61,11239354.61,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,61500.0,100.0,1822552.5,2963.5,615.0,True,ok,615,615,61500,2026-05-05T19:24:28.508199+00:00,
ME,S6ME00373,"PLATNER, GRAHAM",C00916437,11956529.27,9225671.66,2730857.61,2730857.61,4766.6,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,525.0,525.0,525.0,26200.0,100.0,8127109.0,31019.5,262.0,True,ok,262,262,26200,2026-05-06T01:03:50.064916+00:00,
