state,selected_candidate_count,combined_total_receipts,combined_total_disbursements,combined_cash_on_hand,combined_ie_total_amount,suspect_schedule_a_candidate_count,leading_candidate_name,leading_candidate_party,leading_fec_candidate_id,leading_committee_id,leading_total_receipts,leading_cash_on_hand,leading_ie_total_amount,runner_up_candidate_name,runner_up_candidate_party,runner_up_fec_candidate_id,runner_up_committee_id,runner_up_total_receipts,runner_up_cash_on_hand,runner_up_ie_total_amount,leading_receipts_share,leading_cash_share,receipts_gap_between_top_two,cash_gap_between_top_two
GA,2,107521594.6,30527433.4,81984727.91,474671.31,1,"OSSOFF, T. JONATHAN",DEM,S8GA00180,C00718866,57270664.6,31736032.32,474671.31,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",REP,S6GA00366,C00857128,50250930.0,50248695.59,0.0,0.5326433709717323,0.38709687924851954,7019734.6000000015,-18512663.270000003
TX,2,48550490.55,37894322.82,12442874.93,4675894.21,2,"TALARICO, JAMES",DEM,S6TX00479,C00919084,40284109.15,9858865.35,4580780.57,"CRUZ, RAFAEL EDWARD  TED",REP,S2TX00312,C00492785,8266381.4,2584009.58,95113.64,0.8297363979981455,0.7923301813658912,32017727.75,7274855.77
OH,2,36498786.74,11308983.95,25189802.79,1182405.26,2,"BROWN, SHERROD",DEM,S6OH00163,C00916288,25979968.48,17028642.24,332226.8,"HUSTED, JON",REP,S6OH00304,C00896019,10518818.26,8161160.55,850178.46,0.7118036187084502,0.6760133210237014,15461150.22,8867481.689999998
AZ,2,35642137.99,17482738.68,22780046.360000003,55336.83,2,"KELLY, MARK",DEM,S0AZ00350,C00696526,35276811.97,22308538.42,52852.21,"LAKE, KARI",REP,S4AZ00220,C00852343,365326.02,471507.94,2484.62,0.9897501653772144,0.9793017128872954,34911485.949999996,21837030.48
NC,2,35231090.59,14247284.95,20983805.64,2992709.2,2,"COOPER, ROY",DEM,S6NC00407,C00913566,26822372.69,18455463.05,550953.62,"WHATLEY, MICHAEL",REP,S6NC00415,C00913996,8408717.9,2528342.59,2441755.58,0.7613267781614818,0.8795098165996929,18413654.79,15927120.46
IL,2,33718193.17,29021871.759999998,4696321.41,3513985.29,2,"KRISHNAMOORTHI, S",DEM,S6IL00482,C00904466,31390858.87,3152923.15,3513985.29,"TRACY, DON",REP,S6IL00615,C00917120,2327334.3,1543398.26,0.0,0.9309768975975055,0.671360172088392,29063524.57,1609524.89
FL,2,24340541.950000003,17211149.8,7129392.15,433298.08,2,"WEIL, JOSHUA JOSEPH",DEM,S6FL00756,C00893321,15933478.15,0.0,0.0,"MOODY, ASHLEY",REP,S6FL00640,C00895763,8407063.8,7129392.15,433298.08,0.6546065483147551,0.0,7526414.35,-7129392.15
ME,2,22419832.92,12264436.67,12731705.149999999,1084952.81,2,"PLATNER, GRAHAM",DEM,S6ME00373,C00916437,11956529.27,2730857.61,525.0,"COLLINS, SUSAN M.",REP,S6ME00159,C00314575,10463303.65,10000847.54,1084427.81,0.5333014439788251,0.21449268403769153,1493225.6199999992,-7269989.93
NJ,2,16909542.71,5907154.11,22194874.59,135.34,1,"BOOKER, CORY A.",DEM,S4NJ00185,C00540500,16808282.46,22171570.28,135.34,"LEBOVICS, ROBERT",REP,S6NJ00438,C00941534,101260.25,23304.31,0.0,0.9940116505965524,0.998950013891473,16707022.21,22148265.970000003
MI,2,16493810.75,9151596.41,7596945.78,1658404.63,2,"STEVENS, HALEY",DEM,S6MI00426,C00903039,8870471.26,3388917.95,70857.0,"ROGERS, MICHAEL J",REP,S4MI00595,C00849810,7623339.49,4208027.83,1587547.63,0.5378060530978264,0.4460895270467496,1247131.7699999996,-819109.8799999999
