state,selected_candidate_name,party_normalized,committee_id,schedule_a_manifest_status,schedule_a_manifest_pages_fetched,schedule_a_manifest_total_pages_reported,schedule_a_manifest_row_count,schedule_a_rows_raw,schedule_a_unique_sub_ids,schedule_a_duplication_factor,schedule_a_net_amount_raw,schedule_a_net_amount_deduped_by_sub_id,schedule_a_suspect_repeated_page_fetch,schedule_a_manifest_fetched_at,schedule_a_manifest_error
GA,"OSSOFF, T. JONATHAN",DEM,C00718866,ok,2632,2632,263200,263200.0,100.0,2632.0,20180860.0,7667.5,True,2026-05-05T22:15:45.979634+00:00,
AZ,"KELLY, MARK",DEM,C00696526,ok,1766,1766,176600,176600.0,100.0,1766.0,9891366.0,5601.0,True,2026-05-04T22:03:55.724183+00:00,
TX,"TALARICO, JAMES",DEM,C00919084,ok,844,844,84400,84400.0,100.0,844.0,15492582.16,18356.14,True,2026-05-06T08:37:53.113562+00:00,
TX,"CRUZ, RAFAEL EDWARD  TED",REP,C00492785,ok,840,840,84000,84000.0,100.0,840.0,18232813.2,21705.73,True,2026-05-06T09:17:37.166925+00:00,
MI,"ROGERS, MICHAEL J",REP,C00849810,ok,811,811,81100,81100.0,100.0,811.0,78321457.23,96573.93,True,2026-05-06T01:43:24.949961+00:00,
OH,"BROWN, SHERROD",DEM,C00916288,ok,667,667,66700,66700.0,100.0,667.0,79960960.5,119881.5,True,2026-05-06T04:53:29.171362+00:00,
CT,"MURPHY, CHRISTOPHER S",DEM,C00492645,ok,615,615,61500,61500.0,100.0,615.0,1822552.5,2963.5,True,2026-05-05T19:24:28.508199+00:00,
NJ,"BOOKER, CORY A.",DEM,C00540500,ok,560,560,56000,56000.0,100.0,560.0,6599600.0,11785.0,True,2026-05-06T04:12:14.910447+00:00,
NC,"WHATLEY, MICHAEL",REP,C00913996,ok,531,531,53100,53100.0,100.0,531.0,40656046.86,76565.06,True,2026-05-06T03:42:23.767876+00:00,
TN,"HAGERTY, BILL",REP,C00718627,ok,441,441,44100,44100.0,100.0,441.0,12698744.94,28795.34,True,2026-05-06T08:00:39.330669+00:00,
VA,"WARNER, MARK ROBERT",DEM,C00438713,ok,360,360,36000,36000.0,100.0,360.0,19058040.0,52939.0,True,2026-05-06T09:49:10.053524+00:00,
NC,"COOPER, ROY",DEM,C00913566,ok,335,335,33500,33500.0,100.0,335.0,10251670.0,30602.0,True,2026-05-06T03:15:03.894022+00:00,
IA,"ARENHOLZ, ASHLEY HINSON",REP,C00706267,ok,308,308,30800,30800.0,100.0,308.0,1336368.88,4338.86,True,2026-05-06T00:32:46.867193+00:00,
UT,"LEE, MIKE",REP,C00473827,ok,266,266,26600,26600.0,100.0,266.0,900053.5599999999,3383.66,True,2026-05-06T09:31:19.719004+00:00,
ME,"PLATNER, GRAHAM",DEM,C00916437,ok,262,262,26200,26200.0,100.0,262.0,8127109.0,31019.5,True,2026-05-06T01:03:50.064916+00:00,
CA,"SCHIFF, ADAM",DEM,C00343871,ok,260,260,26000,26000.0,100.0,260.0,1408316.0,5416.6,True,2026-05-05T18:42:14.180196+00:00,
PA,"MCCORMICK, DAVE",REP,C00851980,ok,257,257,25700,25700.0,100.0,257.0,1625404.21,6324.53,True,2026-05-06T07:32:23.798815+00:00,
FL,"WEIL, JOSHUA JOSEPH",DEM,C00893321,ok,241,241,24100,24100.0,100.0,241.0,3722245.0,15445.0,True,2026-05-05T18:01:14.550002+00:00,
PA,"FETTERMAN, JOHN KARL",DEM,C00765800,ok,236,236,23600,23600.0,100.0,236.0,4886144.0,20704.0,True,2026-05-06T07:22:56.224235+00:00,
MO,"SCHMITT, ERIC",REP,C00775015,ok,223,223,22300,22300.0,100.0,223.0,819560.68,3675.16,True,2026-05-06T01:55:36.889467+00:00,
KY,"BARR, GARLAND ANDY",REP,C00467571,ok,218,218,21800,21800.0,100.0,218.0,9658705.82,44305.99,True,2026-05-06T00:51:08.602621+00:00,
OR,"MERKLEY, JEFFREY ALAN",DEM,C00437277,ok,212,212,21200,21200.0,100.0,212.0,1535516.0,7243.0,True,2026-05-06T05:08:28.459113+00:00,
MT,"DAINES, STEVE",REP,C00491357,ok,182,182,18200,18200.0,100.0,182.0,4207652.54,23118.97,True,2026-05-06T02:02:59.151450+00:00,
NM,"LUJAN, BEN RAY",DEM,C00443689,ok,173,173,17300,17300.0,100.0,173.0,6129217.0,35429.0,True,2026-05-06T04:19:19.471222+00:00,
SC,"ANDREWS, ANNIE",DEM,C00906024,ok,163,163,16300,16300.0,100.0,163.0,4978835.0,30545.0,True,2026-05-06T07:40:45.539895+00:00,
AR,"COTTON, THOMAS",REP,C00499988,ok,158,158,15800,15800.0,100.0,158.0,5960659.02,37725.69,True,2026-05-04T17:10:53.398242+00:00,
WI,"BALDWIN, TAMMY",DEM,C00326801,ok,133,133,13300,13300.0,100.0,133.0,622733.93,4682.21,True,2026-05-06T09:58:59.265660+00:00,
