state,dem_fec_candidate_id,rep_fec_candidate_id,dem_candidate_name,rep_candidate_name,dem_total_receipts,rep_total_receipts,dem_total_disbursements,rep_total_disbursements,dem_cash_on_hand,rep_cash_on_hand,dem_debts_owed_by_committee,rep_debts_owed_by_committee,dem_coverage_end_date,rep_coverage_end_date,top_1_entity_name,top_1_entity_type,top_1_yes_probability,top_1_market_slug,top_1_fec_candidate_id,top_2_entity_name,top_2_entity_type,top_2_yes_probability,top_2_market_slug,top_2_fec_candidate_id,favorite_margin_prob,combined_receipts,combined_spend,combined_cash,dem_receipts_share,rep_receipts_share,dem_cash_share,rep_cash_share,favorite_party,favorite_receipts_share,favorite_cash_share,favorite_candidate_name,favorite_receipts_gap_vs_opponent,favorite_cash_gap_vs_opponent
AK,S6AK00276,S4AK00214,"PELTOLA, MARY","SULLIVAN, DAN",8661662.38,6500847.42,2934553.61,1505699.66,5727108.77,7086052.55,0.0,0.0,2026-03-31,2026-03-31,Mary Peltola,candidate,0.675,will-mary-peltola-win-the-alaska-senate-race-in-2026,S6AK00276,Dan Sullivan,candidate,0.33,will-dan-sullivan-win-the-alaska-senate-race-in-2026,S4AK00214,0.34500000000000003,15162509.8,4440253.27,12813161.32,0.5712551875811483,0.42874481241885165,0.44697078472434304,0.5530292152756568,DEM,0.5712551875811483,0.44697078472434304,"PELTOLA, MARY",2160814.960000001,-1358943.7800000003
AL,S6AL00435,S2AL00145,"SWEETSER, KYLE","BRITT, KATIE BOYD",154502.42,2354118.85,139185.61,1240070.25,15316.81,5223597.3,16421.89,30327.0,2026-03-31,2026-03-31,Republican,party,0.945,will-the-republicans-win-the-alabama-senate-race-in-2026,S2AL00145,Democrat,party,0.055,will-the-democrats-win-the-alabama-senate-race-in-2026,S0AL00156,0.8899999999999999,2508621.27,1379255.8599999999,5238914.109999999,0.06158857929160427,0.9384114207083958,0.0029236612165035097,0.9970763387834966,REP,0.9384114207083958,0.9970763387834966,"BRITT, KATIE BOYD",2199616.43,5208280.49
AR,S6AR00199,S4AR00103,"SHOFFNER, HALLIE","COTTON, THOMAS",1589764.37,5406039.51,1011034.49,3069823.75,578729.88,9787085.59,0.0,73959.0,2026-03-31,2026-03-31,Republican,party,0.9,will-the-republicans-win-the-arkansas-senate-race-in-2026,S4AR00103,Democrat,party,0.06,will-the-democrats-win-the-arkansas-senate-race-in-2026,S6AR00199,0.8400000000000001,6995803.88,4080858.24,10365815.47,0.2272454170056008,0.7727545829943991,0.05583061763687753,0.9441693823631224,REP,0.7727545829943991,0.9441693823631224,"COTTON, THOMAS",3816275.1399999997,9208355.709999999
CO,S0CO00575,S6CO00440,"HICKENLOOPER, JOHN W.","JOSHI, JANAK",6818283.07,485402.64,4217907.35,192985.78,4036008.7,292416.86,0.0,350100.0,2026-03-31,2026-03-31,Democrat,party,0.91,will-the-democrats-win-the-colorado-senate-race-in-2026,S0CO00575,Republican,party,0.09,will-the-republicans-win-the-colorado-senate-race-in-2026,S2CO00241,0.8200000000000001,7303685.71,4410893.13,4328425.5600000005,0.9335400427573984,0.06645995724260156,0.9324426732199594,0.06755732678004053,DEM,0.9335400427573984,0.9324426732199594,"HICKENLOOPER, JOHN W.",6332880.430000001,3743591.8400000003
DE,S0DE00092,S6DE00198,"COONS, CHRISTOPHER A.","SHULLI, JOHN",3044649.37,100728.71,1100177.83,15021.49,4129671.39,85707.22,0.0,100000.0,2026-03-31,2026-03-31,Democrat,party,0.93,will-the-democrats-win-the-delaware-senate-race-in-2026,S4DE00060,Republican,party,0.06,will-the-republicans-win-the-delaware-senate-race-in-2026,S6DE00131,0.8700000000000001,3145378.08,1115199.32,4215378.61,0.9679756431697394,0.03202435683026061,0.9796679662897468,0.020332033710253133,DEM,0.9679756431697394,0.9796679662897468,"COONS, CHRISTOPHER A.",2943920.66,4043964.17
FL,S6FL00756,S6FL00640,"WEIL, JOSHUA JOSEPH","MOODY, ASHLEY",15933478.15,8407063.8,15933478.15,1277671.65,0.0,7129392.15,0.0,0.0,2025-09-30,2026-03-31,Republican,party,0.81,will-the-republicans-win-the-florida-senate-race-in-2026,S8FL00273,Democrat,party,0.18,will-the-democrats-win-the-florida-senate-race-in-2026,S6FL00756,0.6300000000000001,24340541.950000003,17211149.8,7129392.15,0.6546065483147551,0.3453934516852448,0.0,1.0,REP,0.3453934516852448,1.0,"MOODY, ASHLEY",-7526414.35,7129392.15
GA,S8GA00180,S6GA00366,"OSSOFF, T. JONATHAN","CLEMENT, CHRISTINA LOREN REV DR TRUSTE",57270664.6,50250930.0,30525198.99,2234.41,31736032.32,50248695.59,0.0,50250000.0,2026-03-31,2026-03-31,Democrat,party,0.84,will-the-democrats-win-the-georgia-senate-race-in-2026,S0GA00559,Republican,party,0.147,will-the-republicans-win-the-georgia-senate-race-in-2026,S6GA00366,0.693,107521594.6,30527433.4,81984727.91,0.5326433709717323,0.4673566290282678,0.38709687924851954,0.6129031207514806,DEM,0.5326433709717323,0.38709687924851954,"OSSOFF, T. JONATHAN",7019734.6000000015,-18512663.270000003
IA,S6IA00272,S6IA00314,"WAHLS, ZACH P","ARENHOLZ, ASHLEY HINSON",3167670.76,7267266.37,2112265.12,2679198.52,1055405.64,6516143.25,0.0,0.0,2026-03-31,2026-03-31,Republican,party,0.605,will-the-republicans-win-the-iowa-senate-race-in-2026,S4IA00129,Democrat,party,0.405,will-the-democrats-win-the-iowa-senate-race-in-2026,S0IA00176,0.19999999999999996,10434937.129999999,4791463.640000001,7571548.89,0.3035639525697842,0.6964360474302159,0.13939098265533353,0.8606090173446664,REP,0.6964360474302159,0.8606090173446664,"ARENHOLZ, ASHLEY HINSON",4099595.6100000003,5460737.61
ID,S6ID00138,S8ID00027,"ROTH, DAVID JORDAN","CRAPO, MICHAEL D",7494.66,1047393.27,8180.98,590918.68,-91.55,3028068.4,10027.58,0.0,2026-03-31,2026-03-31,Republican,party,0.91,will-the-republicans-win-the-idaho-senate-race-in-2026,S8ID00027,Democrat,party,0.075,will-the-democrats-win-the-idaho-senate-race-in-2026,S6ID00138,0.8350000000000001,1054887.93,599099.66,3027976.85,0.007104697842167935,0.9928953021578322,-3.0234709357173585e-05,1.000030234709357,REP,0.9928953021578322,1.000030234709357,"CRAPO, MICHAEL D",1039898.61,3028159.9499999997
IL,S6IL00482,S6IL00615,"KRISHNAMOORTHI, S","TRACY, DON",31390858.87,2327334.3,28237935.72,783936.04,3152923.15,1543398.26,116248.28,2000000.0,2026-03-31,2026-03-31,Democrat,party,0.93,will-the-democrats-win-the-illinois-senate-race-in-2026,S6IL00482,Republican,party,0.037,will-the-republicans-win-the-illinois-senate-race-in-2026,S6IL00615,0.893,33718193.17,29021871.759999998,4696321.41,0.9309768975975055,0.06902310240249447,0.671360172088392,0.32863982791160795,DEM,0.9309768975975055,0.671360172088392,"KRISHNAMOORTHI, S",29063524.57,1609524.89
KS,S6KS00262,H6KS01179,"SPIDEL NEUMANN, SANDY","MARSHALL, ROGER W",187436.34,3331963.38,149326.67,255723.24,38109.67,4781258.78,100000.0,0.0,2026-03-31,2026-03-31,Republican,party,0.805,will-the-republicans-win-the-kansas-senate-race-in-2026,H6KS01179,Democrat,party,0.2,will-the-democrats-win-the-kansas-senate-race-in-2026,S6KS00262,0.605,3519399.7199999997,405049.91000000003,4819368.45,0.05325804253914074,0.9467419574608593,0.007907606649165825,0.9920923933508342,REP,0.9467419574608593,0.9920923933508342,"MARSHALL, ROGER W",3144527.04,4743149.11
KY,S0KY00339,S6KY00286,"MCGRATH, AMY","BARR, GARLAND ANDY",1942704.23,7968106.41,1631150.23,7486809.96,311554.0,4174374.09,7350.0,0.0,2026-03-31,2026-03-31,Republican,party,0.94,will-the-republicans-win-the-kentucky-senate-race-in-2026,S2KY00012,Democrat,party,0.052,will-the-democrats-win-the-kentucky-senate-race-in-2026,S0KY00420,0.8879999999999999,9910810.64,9117960.19,4485928.09,0.1960187012512631,0.8039812987487368,0.06945140308747125,0.9305485969125288,REP,0.8039812987487368,0.9305485969125288,"BARR, GARLAND ANDY",6025402.18,3862820.09
LA,S6LA00680,S6LA00318,"CROCKETT, GARY","FLEMING, JOHN C. JR.",350000.0,11227243.48,12138.94,9076736.19,675722.12,2169403.67,350000.0,3654723.0,2026-03-31,2026-03-31,Republican,party,0.91,will-the-republicans-win-the-louisiana-senate-race-in-2026,S4LA00065,Democrat,party,0.08,will-the-democrats-win-the-louisiana-senate-race-in-2026,S4LA00040,0.8300000000000001,11577243.48,9088875.129999999,2845125.79,0.03023172144601039,0.9697682785539896,0.2375016677206388,0.7624983322793611,REP,0.9697682785539896,0.7624983322793611,"FLEMING, JOHN C. JR.",10877243.48,1493681.5499999998
MA,S6MA00296,S6MA00304,"MOULTON, SETH","DEATON, JOHN",4255419.17,1400141.01,2774289.78,571567.1,3331467.45,828573.91,0.0,1005000.0,2026-03-31,2026-03-31,Democrat,party,0.945,will-the-democrats-win-the-massachusetts-senate-race-in-2026,S2MA00170,Republican,party,0.04,will-the-republicans-win-the-massachusetts-senate-race-in-2026,S4MA00358,0.9049999999999999,5655560.18,3345856.88,4160041.3600000003,0.7524310651045004,0.2475689348954996,0.8008255595804942,0.19917444041950583,DEM,0.7524310651045004,0.8008255595804942,"MOULTON, SETH",2855278.16,2502893.54
ME,S6ME00373,S6ME00159,"PLATNER, GRAHAM","COLLINS, SUSAN M.",11956529.27,10463303.65,9225671.66,3038765.01,2730857.61,10000847.54,4766.6,0.0,2026-03-31,2026-03-31,Democrat,party,0.715,will-the-democrats-win-the-maine-senate-race-in-2026,S0ME00111,Republican,party,0.295,will-the-republicans-win-the-maine-senate-race-in-2026,S6ME00159,0.42,22419832.92,12264436.67,12731705.149999999,0.5333014439788251,0.4666985560211748,0.21449268403769153,0.7855073159623085,DEM,0.5333014439788251,0.21449268403769153,"PLATNER, GRAHAM",1493225.6199999992,-7269989.93
MI,S6MI00426,S4MI00595,"STEVENS, HALEY","ROGERS, MICHAEL J",8870471.26,7623339.49,5481553.31,3670043.1,3388917.95,4208027.83,56555.46,0.0,2026-03-31,2026-03-31,Democrat,party,0.765,will-the-democrats-win-the-michigan-senate-race-in-2026,S4MI00470,Republican,party,0.23,will-the-republicans-win-the-michigan-senate-race-in-2026,S8MI00372,0.535,16493810.75,9151596.41,7596945.78,0.5378060530978264,0.4621939469021736,0.4460895270467496,0.5539104729532505,DEM,0.5378060530978264,0.4460895270467496,"STEVENS, HALEY",1247131.7699999996,-819109.8799999999
MN,S6MN00499,S6MN00556,"CRAIG, ANGIE","TAFOYA, MICHELE",9290611.68,2041939.86,4395298.62,186972.48,4895313.06,1854967.38,389289.67,0.0,2026-03-31,2026-03-31,Democrat,party,0.9,will-the-democrats-win-the-minnesota-senate-race-in-2026,S8MN00578,Republican,party,0.055,will-the-republicans-win-the-minnesota-senate-race-in-2026,S8MN00586,0.845,11332551.54,4582271.100000001,6750280.4399999995,0.8198164065001023,0.18018359349989777,0.725201434742169,0.274798565257831,DEM,0.8198164065001023,0.725201434742169,"CRAIG, ANGIE",7248671.819999999,3040345.6799999997
MS,S6MS00133,S8MS00261,"COLOM, SCOTT","HYDE-SMITH, CINDY",1619367.76,3394174.57,1059740.86,1405313.85,559626.9,2458624.57,86514.64,60000.0,2026-03-31,2026-03-31,Republican,party,0.87,will-the-republicans-win-the-mississippi-senate-race-in-2026,S8MS00196,Democrat,party,0.13,will-the-democrats-win-the-mississippi-senate-race-in-2026,S8MS00287,0.74,5013542.33,2465054.71,3018251.4699999997,0.3229987209462735,0.6770012790537264,0.18541427232370405,0.814585727676296,REP,0.6770012790537264,0.814585727676296,"HYDE-SMITH, CINDY",1774806.8099999998,1898997.67
MT,S6MT00238,S2MT00096,"NEILL, REILLY","DAINES, STEVE",272736.33,4709051.07,168977.55,2192226.74,103938.36,4275067.25,88000.0,44813.08,2026-03-31,2026-03-31,Republican,party,0.795,will-the-republicans-win-the-montana-senate-race-in-2026,S2MT00096,Independent,party,0.1325,will-an-independent-win-the-montana-senate-race-in-2026,,0.6625000000000001,4981787.4,2361204.29,4379005.61,0.054746681883695,0.945253318116305,0.023735607865549183,0.9762643921344507,REP,0.945253318116305,0.9762643921344507,"DAINES, STEVE",4436314.74,4171128.89
NC,S6NC00407,S6NC00415,"COOPER, ROY","WHATLEY, MICHAEL",26822372.69,8408717.9,8366909.64,5880375.31,18455463.05,2528342.59,0.0,666374.48,2026-03-31,2026-03-31,Democrat,party,0.855,will-the-democrats-win-the-north-carolina-senate-race-in-2026,S2NC00497,Republican,party,0.145,will-the-republicans-win-the-north-carolina-senate-race-in-2026,S4NC00162,0.71,35231090.59,14247284.95,20983805.64,0.7613267781614818,0.23867322183851816,0.8795098165996929,0.12049018340030716,DEM,0.7613267781614818,0.8795098165996929,"COOPER, ROY",18413654.79,15927120.46
