fec_candidate_id,candidate_name,committee_id,committee_name,designation,designation_full,committee_type,committee_type_full,is_principal
S6ID00146,"ACHILLES, TODD BAKER",C00909309,TODD ACHILLES FOR IDAHO,P,Principal campaign committee,S,Senate,True
S6TX00578,"ADEFOPE, JOHN",C00934158,TEXANS FOR ADEFOPE,P,Principal campaign committee,S,Senate,True
S6MS00109,"ADLAKHA, SARAH ANNE DR",C00900944,SARAH ADLAKHA FOR SENATE,P,Principal campaign committee,S,Senate,True
S6LA00706,"ALBARES, NICHOLAS S.",C00938944,NICHOLAS ALBARES FOR LOUISIANA,P,Principal campaign committee,S,Senate,True
S4ME00139,"ALCALA, NATASHA",C00867069,NATASHA 4 U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6ME00308,"ALCALA, NATASHA",C00898080,NATASHA ALCALA 4 SENATE,P,Principal campaign committee,S,Senate,True
S6ME00423,"ALCORN, ETHAN WELD MR",C00942078,ETHAN FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6TX00305,"ALLEN, KEITH",C00886291,KEITH ALLEN 4 CONGRESS,P,Principal campaign committee,H,House,True
S2MO00775,"ALLEN, ROBERT",C00810820,COMMITTEE TO ELECT ROBERT BULLET ALLEN,P,Principal campaign committee,S,Senate,True
S4TX00722,"ALLRED, COLIN",C00909572,ALLRED FOR TEXAS 2026,P,Principal campaign committee,S,Senate,True
S4TX00722,"ALLRED, COLIN",C00839597,FRIENDS OF COLIN ALLRED 2024,A,Authorized by a candidate,S,Senate,False
S6TX00438,"ALLRED, COLIN",C00909572,ALLRED FOR TEXAS 2026,P,Principal campaign committee,S,Senate,True
S6MT00295,"ALME, KURT",C00942060,ALME FOR SENATE,P,Principal campaign committee,S,Senate,True
S4MD00327,"ALSOBROOKS, ANGELA",C00840017,ALSOBROOKS FOR SENATE,P,Principal campaign committee,S,Senate,True
S6TX00370,"ALVAREZ, ANDREW",C00745356,ANDREW ALVAREZ FOR SENATE,P,Principal campaign committee,S,Senate,True
S4HI00201,"AMARAL, MELBA S S",C00882654,MELBA AMARAL FOR CONGRESS,P,Principal campaign committee,S,Senate,True
S4MI00694,"AMASH, JUSTIN",C00476291,JUSTIN AMASH FOR SENATE,P,Principal campaign committee,S,Senate,True
S4WI00173,"ANDERSON, PHILLIP NORMAN",C00835140,PHILLIP ANDERSON FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6WI00152,"ANDERSON, PHILLIP NORMAN",C00591123,ANDERSON FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6WI00152,"ANDERSON, PHILLIP NORMAN",C00835140,PHILLIP ANDERSON FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6SC04239,"ANDREWS, ANNIE",C00906024,DR. ANNIE ANDREWS FOR SENATE,P,Principal campaign committee,S,Senate,True
S4TX00763,"ANDREWS, CODY",C00848069,CODY ANDREWS' CAMPAIGN,P,Principal campaign committee,S,Senate,True
