fec_candidate_id,candidate_name,state,party,committee_id,committee_name,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_start_date,coverage_end_date,cycle,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,candidate_contribution,other_receipts,last_report_type_full,last_report_year,is_principal_committee,source_endpoint,candidate_status,load_date,office,candidate_status_priority,totals_scope
S6AK00276,"PELTOLA, MARY",AK,DEM,C00933978,ALASKANS FOR MARY,8661662.38,2934553.61,5727108.77,5727108.77,0.0,2026-01-01T00:00:00,2026-03-31T00:00:00,2026,7563867.88,4078882.5,3484985.38,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals,C,2026-04-18T21:13:41,S,0.0,latest_candidate_row_since_2025-01-01
S4AK00099,"MURKOWSKI, LISA",AK,REP,C00384529,LISA MURKOWSKI FOR US SENATE,1073320.2,311423.23,1379057.22,1379057.22,0.0,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,750387.13,712491.47,37895.66,0.0,43633.07,APRIL QUARTERLY,2026,True,committee_totals,C,2025-01-10T21:01:11,S,0.0,latest_candidate_row_since_2025-01-01
S4AK00214,"SULLIVAN, DAN",AK,REP,C00570994,ALASKANS FOR DAN SULLIVAN,6500847.42,1505699.66,7086052.55,7086052.55,0.0,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,2531692.06,2329258.8,202433.26,0.0,177599.11,APRIL QUARTERLY,2026,True,committee_totals,C,2026-03-30T21:13:30,S,0.0,latest_candidate_row_since_2025-01-01
S2AK00127,"TSHIBAKA, KELLY",AK,REP,C00774570,KELLY FOR ALASKA,0.0,3589.19,0.0,0.0,0.0,2025-01-01T00:00:00,2025-11-04T00:00:00,2026,0.0,0.0,0.0,0.0,0.0,TERMINATION REPORT,2025,True,committee_totals,P,2023-03-09T10:16:03,S,1.0,latest_candidate_row_since_2025-01-01
S6AL00302,"CRUMPTON, RONALD (RON) STEVEN",AL,DEM,C00575530,CRUMPTON FOR ALABAMA,0.0,0.0,5.14,5.14,0.0,2025-04-01T00:00:00,2026-03-31T00:00:00,2026,0.0,0.0,0.0,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals,P,2021-12-08T06:50:51,S,1.0,latest_candidate_row_since_2025-01-01
S6AL00427,"LARRIETT, DAKARAI",AL,DEM,C00901017,ELECT DAKARAI LARRIETT,129877.4,111027.5,18849.9,18849.9,89370.0,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,127347.4,53388.0,73959.4,10.0,0.0,APRIL QUARTERLY,2026,True,committee_totals,C,2025-07-16T21:02:06,S,0.0,latest_candidate_row_since_2025-01-01
S6AL00435,"SWEETSER, KYLE",AL,DEM,C00901777,KYLE FOR ALABAMA,154502.42,139185.61,15316.81,15316.81,16421.89,2025-04-01T00:00:00,2026-03-31T00:00:00,2026,139350.79,90176.03,49174.76,150.84,0.0,APRIL QUARTERLY,2026,True,committee_totals,C,2025-07-15T21:00:48,S,0.0,latest_candidate_row_since_2025-01-01
S6AL00518,"WESS, EVERETT W",AL,DEM,C00935783,EVERETT W. WESS FOR US SENATE,26293.6,12612.71,13680.89,13680.89,23751.23,2026-01-01T00:00:00,2026-03-31T00:00:00,2026,2542.37,1315.38,1226.99,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals,C,2026-04-18T21:13:41,S,0.0,latest_candidate_row_since_2025-01-01
S6AL00393,"WHEELER, MARK SHANNON MR II",AL,DEM,C00895904,MARK WHEELER FOR SENATE,17148.48,16759.0,389.48,389.48,833.28,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,17148.48,2775.0,14373.48,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals,C,2025-06-09T20:59:02,S,0.0,latest_candidate_row_since_2025-01-01
S2AL00145,"BRITT, KATIE BOYD",AL,REP,C00781443,BRITT FOR ALABAMA INC,2354118.85,1240070.25,5223597.3,5223597.3,30327.0,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,1967510.46,1270798.58,696711.88,0.0,6000.0,APRIL QUARTERLY,2026,True,committee_totals,C,2025-01-10T21:01:11,S,0.0,latest_candidate_row_since_2025-01-01
