fec_candidate_id,name,party,party_full,state,office,election_years,cycles,candidate_status,load_date,party_normalized,raw_party
S6ID00146,"ACHILLES, TODD BAKER",IND,INDEPENDENT,ID,S,[2026],[2026],C,2025-10-18T21:00:34,OTHER,IND
S6TX00578,"ADEFOPE, JOHN",REP,REPUBLICAN PARTY,TX,S,[2026],[2026],N,2026-01-13T21:02:51,REP,REP
S6MS00109,"ADLAKHA, SARAH ANNE DR",REP,REPUBLICAN PARTY,MS,S,[2026],[2026],C,2025-07-16T21:02:06,REP,REP
S6NC00365,"AGNEW, BROOKS ALEXANDER",REP,REPUBLICAN PARTY,NC,S,[2026],[2026],N,2025-06-30T20:58:43,REP,REP
S6LA00706,"ALBARES, NICHOLAS S.",DEM,DEMOCRATIC PARTY,LA,S,[2026],[2026],C,2026-04-21T21:14:29,DEM,DEM
S4ME00139,"ALCALA, NATASHA",DEM,DEMOCRATIC PARTY,ME,S,[2024],"[2024, 2026]",N,2024-02-04T20:58:30,DEM,DEM
S6ME00308,"ALCALA, NATASHA",DEM,DEMOCRATIC PARTY,ME,S,[2026],[2026],N,2025-03-13T20:59:32,DEM,DEM
S6ME00423,"ALCORN, ETHAN WELD MR",UN,UNAFFILIATED,ME,S,[2026],[2026],N,2026-03-06T21:23:49,OTHER,UN
S6TX00305,"ALLEN, KEITH",REP,REPUBLICAN PARTY,TX,S,[2026],"[2024, 2026]",N,2025-01-10T21:01:11,REP,REP
S2MO00775,"ALLEN, ROBERT",REP,REPUBLICAN PARTY,MO,S,[2022],"[2022, 2024, 2026]",N,2022-10-26T21:15:05,REP,REP
S4TX00722,"ALLRED, COLIN",DEM,DEMOCRATIC PARTY,TX,S,"[2024, 2026]","[2024, 2026]",C,2026-04-30T22:28:57,DEM,DEM
S6TX00438,"ALLRED, COLIN",DEM,DEMOCRATIC PARTY,TX,S,[2026],[2026],C,2025-10-18T21:00:34,DEM,DEM
S6MT00295,"ALME, KURT",REP,REPUBLICAN PARTY,MT,S,[2026],[2026],C,2026-04-18T21:13:41,REP,REP
S0KY00453,"ALSAGER, NICHOLAS SCOTT",REP,REPUBLICAN PARTY,KY,S,[2020],"[2020, 2022, 2024, 2026]",N,2021-12-08T06:50:51,REP,REP
S4MD00327,"ALSOBROOKS, ANGELA",DEM,DEMOCRATIC PARTY,MD,S,"[2024, 2030]","[2024, 2026]",C,2025-02-07T21:00:11,DEM,DEM
S6TX00370,"ALVAREZ, ANDREW",REP,REPUBLICAN PARTY,TX,S,[2026],[2026],N,2025-04-25T21:00:17,REP,REP
S4HI00201,"AMARAL, MELBA S S",REP,REPUBLICAN PARTY,HI,S,[2024],"[2024, 2026]",N,2024-07-18T21:02:01,REP,REP
S4MI00694,"AMASH, JUSTIN",REP,REPUBLICAN PARTY,MI,S,[2024],"[2024, 2026]",P,2025-03-18T15:34:07,REP,REP
S4WI00173,"ANDERSON, PHILLIP NORMAN",IND,INDEPENDENT,WI,S,[2024],"[2024, 2026]",P,2025-03-18T15:34:07,OTHER,IND
S6WI00152,"ANDERSON, PHILLIP NORMAN",LIB,LIBERTARIAN PARTY,WI,S,[2016],"[2016, 2018, 2024, 2026]",P,2021-12-08T06:50:51,OTHER,LIB
S6SC04239,"ANDREWS, ANNIE",DEM,DEMOCRATIC PARTY,SC,S,[2026],[2026],C,2025-07-15T21:00:48,DEM,DEM
S4TX00763,"ANDREWS, CODY",REP,REPUBLICAN PARTY,TX,S,[2024],"[2024, 2026]",N,2023-08-18T21:04:10,REP,REP
S8NJ00392,"ANDREWS, ROBERT E",DEM,DEMOCRATIC PARTY,NJ,S,[2008],"[2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",P,2021-12-08T06:50:50,DEM,DEM
S4TX00680,"ANDRUS, TRACY DR. SR.",DEM,DEMOCRATIC PARTY,TX,S,[2024],"[2024, 2026]",P,2025-03-18T15:34:07,DEM,DEM
S4MA00291,"ANTONELLIS, ROBERT JOSEPH",REP,REPUBLICAN PARTY,MA,S,[2024],"[2024, 2026]",P,2025-03-18T15:34:07,REP,REP
S4WA00565,"ARCHER, DESTINY MR",REP,REPUBLICAN PARTY,WA,S,[2024],"[2022, 2024, 2026]",N,2023-01-12T22:24:01,REP,REP
S6IA00314,"ARENHOLZ, ASHLEY HINSON",REP,REPUBLICAN PARTY,IA,S,[2026],[2026],C,2026-04-03T21:13:47,REP,REP
S4TX00599,"ARGUIJO, AARON",DEM,DEMOCRATIC PARTY,TX,S,[2024],"[2022, 2024, 2026]",N,2023-01-12T22:24:01,DEM,DEM
S6LA00516,"ARRINGTON, RANDALL STEVEN PHD",REP,REPUBLICAN PARTY,LA,S,[2026],"[2024, 2026]",N,2025-01-10T21:01:11,REP,REP
S6LA00524,"ARRINGTON, RANDALL STEVEN PHD",REP,REPUBLICAN PARTY,LA,S,[2026],[2026],N,2025-02-07T21:00:11,REP,REP
S6AR00207,"ASHBY, MICAH",REP,REPUBLICAN PARTY,AR,S,[2026],[2026],C,2026-02-09T20:58:28,REP,REP
S4CA01074,"ASTORGA, ALEX JOHN",NNE,NONE,CA,S,[2024],"[2024, 2026]",N,2024-06-04T21:13:18,OTHER,NNE
S6FL00749,"ATKINS, JOEY MENDOZA",DEM,DEMOCRATIC PARTY,FL,S,[2026],[2026],C,2025-10-18T21:00:34,DEM,DEM
S4WI00199,"AUBART, SCOTT ALAN MR",AIP,AMERICAN INDEPENDENT PARTY,WI,S,[2024],"[2024, 2026]",N,2023-06-08T21:05:05,OTHER,AIP
S6MT00261,"AUSTIN, KYLE",LIB,LIBERTARIAN PARTY,MT,S,[2026],[2026],C,2026-04-09T21:14:22,OTHER,LIB
S6NE00178,"AXTELL SCHULTZ, DEBRA LEANNE MS",REP,REPUBLICAN PARTY,NE,S,[2026],[2026],N,2026-04-29T21:28:42,REP,REP
