state,fec_candidate_id,selected_candidate_name,committee_id,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_end_date,party,party_normalized,selected_candidate,selection_method,selection_rank_within_state_party,manual_override_reason
AK,S6AK00276,"PELTOLA, MARY",C00933978,8661662.38,2934553.61,5727108.77,5727108.77,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
AK,S4AK00099,"MURKOWSKI, LISA",C00384529,1073320.2,311423.23,1379057.22,1379057.22,0.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
AK,S4AK00214,"SULLIVAN, DAN",C00570994,6500847.42,1505699.66,7086052.55,7086052.55,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
AK,S2AK00127,"TSHIBAKA, KELLY",C00774570,0.0,3589.19,0.0,0.0,0.0,2025-11-04T00:00:00,REP,REP,False,,3.0,
AL,S6AL00302,"CRUMPTON, RONALD (RON) STEVEN",C00575530,0.0,0.0,5.14,5.14,0.0,2026-03-31T00:00:00,DEM,DEM,False,,5.0,
AL,S6AL00427,"LARRIETT, DAKARAI",C00901017,129877.4,111027.5,18849.9,18849.9,89370.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
AL,S6AL00435,"SWEETSER, KYLE",C00901777,154502.42,139185.61,15316.81,15316.81,16421.89,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
AL,S6AL00518,"WESS, EVERETT W",C00935783,26293.6,12612.71,13680.89,13680.89,23751.23,2026-03-31T00:00:00,DEM,DEM,False,,3.0,
AL,S6AL00393,"WHEELER, MARK SHANNON MR II",C00895904,17148.48,16759.0,389.48,389.48,833.28,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
AL,S2AL00145,"BRITT, KATIE BOYD",C00781443,2354118.85,1240070.25,5223597.3,5223597.3,30327.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
AL,S6AL00500,"BURTON, MATTHEW SETH",C00935403,58254.23,31654.28,26599.95,26599.95,0.0,2026-03-31T00:00:00,REP,REP,False,,7.0,
AL,S0AL00206,"BYRNE, BRADLEY ROBERTS",C00697417,0.0,0.0,3933.13,3933.13,0.0,2026-03-31T00:00:00,REP,REP,False,,8.0,
AL,S6AL00443,"HUDSON, JARED",C00906453,1403340.26,782943.87,620396.39,620396.39,56450.16,2026-03-31T00:00:00,REP,REP,False,,4.0,
AL,S6AL00450,"MARSHALL, STEVEN T",C00906545,1362193.3,844542.36,517650.94,517650.94,0.0,2026-03-31T00:00:00,REP,REP,False,,5.0,
AL,S0AL00289,"MERRILL, JOHN H",C00709477,0.0,8895.0,213440.78,213440.78,0.0,2026-03-31T00:00:00,REP,REP,False,,9.0,
AL,S6AL00476,"MOORE, FELIX BARRY",C00720375,2173919.1,1454212.77,844837.99,844837.99,0.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
AL,S8AL00308,"STRANGE, LUTHER J III",C00629451,0.0,3750.0,36043.2,36043.2,178713.5,2025-12-31T00:00:00,REP,REP,False,,10.0,
AL,S2AL00152,"TAYLOR, JESSICA",C00784066,0.0,0.0,3509.13,3509.13,175990.61,2026-03-31T00:00:00,REP,REP,False,,11.0,
AL,S0AL00230,"TUBERVILLE, THOMAS H",C00701672,724606.1,1165943.0,90993.57,90993.57,10158.63,2026-03-31T00:00:00,REP,REP,False,,6.0,
AL,S6AL00468,"WALKER, RODNEY",C00914218,1997255.19,803477.6,1193777.59,1193777.59,1864000.0,2026-03-31T00:00:00,REP,REP,False,,3.0,
AR,S6AR00173,"DUNBAR, ETHAN N SR.",C00916502,17461.7,22253.18,1110.62,1110.62,0.0,2026-03-27T00:00:00,DEM,DEM,False,,2.0,
AR,S2AR00115,"JAMES, NATALIE",C00778993,0.0,0.0,215.31,215.31,5910.62,2026-03-31T00:00:00,DEM,DEM,False,,5.0,
AR,S6AR00181,"RUSSELL, JAMES RICHARD MR III",C00918136,3086.9,3186.9,0.0,0.0,798.0,2025-11-15T00:00:00,DEM,DEM,False,,3.0,
AR,S6AR00199,"SHOFFNER, HALLIE",C00905471,1589764.37,1011034.49,578729.88,578729.88,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
AR,S0AR00218,"WHITFIELD, DANIEL ALLEN",C00726422,353.29,36.27,2194.25,2194.25,5039.84,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
AR,S6AR00207,"ASHBY, MICAH",C00919803,41161.53,126.26,754.4,754.4,734.4,2026-02-11T00:00:00,REP,REP,False,,4.0,
AR,S2AR00107,"BEQUETTE, JAKE MR.",C00784272,0.0,0.0,183.47,183.47,14953.71,2026-03-31T00:00:00,REP,REP,False,,5.0,
AR,S0AR00150,"BOOZMAN, SEN. JOHN",C00476317,359638.54,199913.46,1270501.58,1270501.58,0.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
AR,S4AR00103,"COTTON, THOMAS",C00499988,5406039.51,3069823.75,9787085.59,9787085.59,73959.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
AR,S6AR00215,"LITTLE, JEB",C00926568,92531.55,92404.15,127.4,127.4,0.0,2026-03-31T00:00:00,REP,REP,False,,3.0,
AZ,S4AZ00139,"GALLEGO, RUBEN",C00558627,3825377.22,2108123.24,1928406.68,1928406.68,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
AZ,S0AZ00350,"KELLY, MARK",C00696526,35276811.97,17370707.12,22308538.42,22308538.42,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
AZ,S8AZ00197,"SINEMA, KYRSTEN",C00508804,162529.87,4439410.31,0.0,0.0,0.0,2026-03-31T00:00:00,IND,OTHER,False,,1.0,
AZ,S4AZ00261,"WILLIAMS, SARAH",C00871293,0.0,453.63,0.0,0.0,0.0,2025-03-17T00:00:00,LIB,OTHER,False,,2.0,
AZ,S2AZ00356,"BRNOVICH, MARK MR.",C00781898,25.0,0.99,5180.66,5180.66,463173.45,2026-03-31T00:00:00,REP,REP,False,,4.0,
AZ,S2AZ00141,"FLAKE, JEFF",C00347260,0.0,8300.0,813052.48,813052.48,0.0,2026-03-31T00:00:00,REP,REP,False,,5.0,
AZ,S0AZ00251,"HAYWORTH, JD",C00474825,0.0,0.0,0.0,0.0,27761.1,2026-03-31T00:00:00,REP,REP,False,,6.0,
AZ,S4AZ00220,"LAKE, KARI",C00852343,365326.02,112031.56,471507.94,471507.94,1007764.01,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
AZ,S4AZ00188,"LAMB, MARK",C00837476,0.0,3482.65,13141.29,13141.29,47400.96,2026-03-31T00:00:00,REP,REP,False,,7.0,
AZ,S2AZ00331,"LAMON, JIM MR",C00778407,0.0,0.0,4448.39,4448.39,18437111.07,2026-03-31T00:00:00,REP,REP,False,,8.0,
AZ,S2AZ00372,"MASTERS, BLAKE",C00784165,0.0,0.0,0.0,0.0,0.0,2025-02-21T00:00:00,REP,REP,False,,9.0,
AZ,S0AZ00376,"MCCARTHY, DANIEL",C00717991,700.0,1188.67,0.0,0.0,0.0,2025-06-30T00:00:00,REP,REP,False,,3.0,
AZ,S2AZ00349,"MCGUIRE, MICHAEL MICK",C00780791,0.0,0.0,2615.92,2615.92,450705.0,2026-03-31T00:00:00,REP,REP,False,,10.0,
AZ,S8AZ00221,"MCSALLY, MARTHA",C00666040,2415.79,2549.87,0.0,0.0,0.0,2025-03-31T00:00:00,REP,REP,False,,2.0,
AZ,S6AZ00217,"MELUSKEY, ALEXANDER",C00574350,0.0,0.0,6159.0,6159.0,791373.02,2026-03-31T00:00:00,REP,REP,False,,11.0,
AZ,S4AZ00212,"WHITE, ALAN MR",C00849505,0.0,0.0,0.0,0.0,0.0,2026-03-31T00:00:00,REP,REP,False,,12.0,
AZ,S8AZ00379,"WILLS, LONNIE MR.",C00904268,0.0,0.0,0.0,0.0,0.0,2026-04-15T00:00:00,REP,REP,False,,13.0,
CA,S4CA00845,"GILANI, SEPI",C00854109,0.0,659.88,1545.4,1545.4,0.0,2026-03-31T00:00:00,DEM,DEM,False,,5.0,
CA,S4CA00688,"INAM, ZAFAR",C00843722,0.0,436.0,0.0,0.0,0.0,2025-11-06T00:00:00,DEM,DEM,False,,6.0,
CA,S4CA00589,"LEE, BARBARA",C00833608,58793.47,101297.95,6287.5,6287.5,88970.64,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
CA,S2CA00955,"PADILLA, ALEX",C00765164,1295140.53,735698.21,7202297.34,7202297.34,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
CA,S4CA00522,"PORTER, KATHERINE",C00831107,210787.93,1624451.71,0.0,0.0,0.0,2025-08-15T00:00:00,DEM,DEM,False,,3.0,
CA,S4CA00613,"RAB, AEJAZ ( RAJI )",C00835678,0.0,90.0,-464.85,-464.85,10000.0,2026-03-31T00:00:00,DEM,DEM,False,,7.0,
CA,S4CA00704,"ROSE, JOHN",C00844654,0.0,0.0,125.0,125.0,6317.73,2025-02-16T00:00:00,DEM,DEM,False,,8.0,
CA,S4CA00712,"ROSE, JOHN DAVID",C00844654,0.0,0.0,125.0,125.0,6317.73,2025-02-16T00:00:00,DEM,DEM,False,,9.0,
CA,S6CA00691,"SANCHEZ, LORETTA",C00578344,0.0,1267.05,1642.59,1642.59,0.0,2026-03-31T00:00:00,DEM,DEM,False,,10.0,
CA,S4CA00555,"SCHIFF, ADAM",C00343871,7793490.82,4210120.6,9964396.84,9964396.84,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
CA,S2CA01276,"URSICH, TIMOTHY J DR",C00808477,0.0,0.0,14010.95,14010.95,15388.46,2026-03-31T00:00:00,DEM,DEM,False,,11.0,
CA,S4CA00761,"SINGH, MAJOR",C00808436,0.0,150.0,363.7,363.7,21154.32,2026-03-31T00:00:00,NOP,OTHER,False,,1.0,
CA,S8CA00515,"BRADLEY, JAMES",C00674085,1175.01,17727.56,499.69,499.69,245.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
CA,S4CA00639,"EARLY, ERIC",C00837526,0.0,450.0,1615.43,1615.43,160635.57,2026-03-31T00:00:00,REP,REP,False,,4.0,
CA,S4CA00803,"GARVEY, STEVE",C00852897,118.08,32626.79,548460.52,548460.52,0.0,2026-03-31T00:00:00,REP,REP,False,,3.0,
CA,S4CA00407,"GARY-PANDOL, DENICE LYN MS.",C00809384,0.0,0.0,456.44,456.44,11624.14,2026-03-31T00:00:00,REP,REP,False,,5.0,
CA,S2CA00872,"LIEW, SARAH SUN DR.",C00721787,0.0,0.0,-57.93,-57.93,292059.24,2025-12-31T00:00:00,REP,REP,False,,6.0,
CA,S4CA00670,"REISS, JONATHAN",C00789776,206.03,131.21,114.03,114.03,14017.12,2026-03-31T00:00:00,REP,REP,False,,2.0,
CA,S2CA01094,"WILLIAMS, CORDIE LEE DR.",C00791509,0.0,0.0,0.0,0.0,44900.0,2026-03-31T00:00:00,REP,REP,False,,7.0,
CO,S6CO00515,"POND, SEAN M.",C00933259,29537.18,12693.74,16843.44,16843.44,0.0,2026-03-31T00:00:00,CON,OTHER,False,,3.0,
CO,S0CO00211,"BENNET, MICHAEL F.",C00458398,207237.02,453442.33,220650.23,220650.23,374819.0,2026-03-31T00:00:00,DEM,DEM,False,,3.0,
CO,S6CO00408,"BRESLIN, KAREN",C00897488,164777.91,155619.71,9158.2,9158.2,0.0,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
CO,S6CO00499,"GONZALES, JULIE",C00929794,443494.98,329433.96,114061.02,114061.02,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
CO,S6CO00473,"HASLEY, BRASHAD D",C00916403,20335.73,20335.73,0.0,0.0,0.0,2026-02-11T00:00:00,DEM,DEM,False,,5.0,
CO,S0CO00575,"HICKENLOOPER, JOHN W.",C00716720,6818283.07,4217907.35,4036008.7,4036008.7,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
CO,S0CO00468,"JOHNSTON, MICHAEL C",C00695411,0.0,90034.79,952676.08,952676.08,0.0,2026-03-31T00:00:00,DEM,DEM,False,,7.0,
CO,S6CO00457,"SCANLON, MICHAEL",C00913442,0.0,0.0,0.0,0.0,0.0,2025-08-05T00:00:00,DEM,DEM,False,,8.0,
CO,S6CO00465,"ZIMPFER, ANTHONY JACOB",C00914416,4130.68,3034.9,1095.78,1095.78,140.68,2026-03-31T00:00:00,DEM,DEM,False,,6.0,
CO,S6CO00549,"CHEW, ROBERT",C00944298,150000.0,0.0,150000.0,150000.0,150000.0,2026-03-31T00:00:00,FWD,OTHER,False,,1.0,
CO,S0CO00344,"NAPOLITANO, JASON ANDREW",C00490276,0.0,72.82,346.5,346.5,7000.0,2026-03-31T00:00:00,IND,OTHER,False,,5.0,
CO,S6CO00432,"WOOD, MATTHEW",C00908962,4545.0,3385.0,752.5,752.5,0.0,2026-03-31T00:00:00,IND,OTHER,False,,4.0,
CO,S6CO00556,"CHEW, ROBERT",C00944298,150000.0,0.0,150000.0,150000.0,150000.0,2026-03-31T00:00:00,OTH,OTHER,False,,2.0,
CO,S6CO00507,"BAISLEY, MARK",C00932848,31865.5,25745.69,6119.81,6119.81,0.0,2026-03-31T00:00:00,REP,REP,False,,3.0,
CO,S2CO00209,"BREMER, ELI",C00786723,0.0,0.0,0.0,0.0,65937.74,2025-03-31T00:00:00,REP,REP,False,,5.0,
CO,S6CO00481,"JONES, DATHAN CHARLES",C00923219,25.0,0.0,1100.0,1100.0,0.0,2026-03-31T00:00:00,REP,REP,False,,4.0,
CO,S6CO00440,"JOSHI, JANAK",C00910794,485402.64,192985.78,292416.86,292416.86,350100.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
CO,S6CO00424,"MARKERT, GEORGE WASHINGTON MR V",C00903443,260985.97,204767.55,56218.42,56218.42,50000.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
CO,S2CO00241,"O'DEA, JOSEPH MATTHEW",C00791186,0.0,1677.0,1953.98,1953.98,3811000.0,2026-03-31T00:00:00,REP,REP,False,,6.0,
CO,S4CO00379,"TRUJILLO, FLOYD",C00554766,0.0,0.0,1024.25,1024.25,102930.68,2026-03-31T00:00:00,REP,REP,False,,7.0,
CT,S0CT00177,"BLUMENTHAL, RICHARD",C00492991,350712.06,277324.84,1311528.75,1311528.75,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
