state,state_name,polymarket_event_slug,polymarket_event_url,top_1_entity_name,top_1_entity_type,top_1_yes_probability,top_1_market_slug,top_1_embed_url,top_1_fec_candidate_id,top_1_matched_candidate_name,top_1_match_status,top_2_entity_name,top_2_entity_type,top_2_yes_probability,top_2_market_slug,top_2_embed_url,top_2_fec_candidate_id,top_2_matched_candidate_name,top_2_match_status,data_pulled_at
AK,Alaska,alaska-senate-election-winner,https://polymarket.com/event/alaska-senate-election-winner,Mary Peltola,candidate,0.675,will-mary-peltola-win-the-alaska-senate-race-in-2026,https://embed.polymarket.com/market?market=will-mary-peltola-win-the-alaska-senate-race-in-2026&height=300,S6AK00276,"PELTOLA, MARY",exact_candidate_universe,Dan Sullivan,candidate,0.33,will-dan-sullivan-win-the-alaska-senate-race-in-2026,https://embed.polymarket.com/market?market=will-dan-sullivan-win-the-alaska-senate-race-in-2026&height=300,S4AK00214,"SULLIVAN, DAN",exact_candidate_universe,2026-05-03T09:51:06.825536+00:00
AL,Alabama,alabama-senate-election-winner-154,https://polymarket.com/event/alabama-senate-election-winner-154,Republican,party,0.95,will-the-republicans-win-the-alabama-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-alabama-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.05,will-the-democrats-win-the-alabama-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-alabama-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.826431+00:00
AR,Arkansas,arkansas-senate-election-winner,https://polymarket.com/event/arkansas-senate-election-winner,Republican,party,0.9,will-the-republicans-win-the-arkansas-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-arkansas-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.075,will-the-democrats-win-the-arkansas-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-arkansas-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.827299+00:00
CO,Colorado,colorado-senate-election-winner,https://polymarket.com/event/colorado-senate-election-winner,Democrat,party,0.91,will-the-democrats-win-the-colorado-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-colorado-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.09,will-the-republicans-win-the-colorado-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-colorado-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.828168+00:00
DE,Delaware,delaware-senate-election-winner,https://polymarket.com/event/delaware-senate-election-winner,Democrat,party,0.925,will-the-democrats-win-the-delaware-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-delaware-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.06,will-the-republicans-win-the-delaware-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-delaware-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.828990+00:00
FL,Florida,florida-senate-election-winner,https://polymarket.com/event/florida-senate-election-winner,Republican,party,0.81,will-the-republicans-win-the-florida-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-florida-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.18,will-the-democrats-win-the-florida-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-florida-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.829782+00:00
GA,Georgia,georgia-senate-election-winner,https://polymarket.com/event/georgia-senate-election-winner,Democrat,party,0.84,will-the-democrats-win-the-georgia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-georgia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.1475,will-the-republicans-win-the-georgia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-georgia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.830576+00:00
IA,Iowa,iowa-senate-election-winner,https://polymarket.com/event/iowa-senate-election-winner,Republican,party,0.605,will-the-republicans-win-the-iowa-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-iowa-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.405,will-the-democrats-win-the-iowa-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-iowa-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.831374+00:00
ID,Idaho,idaho-senate-election-winner,https://polymarket.com/event/idaho-senate-election-winner,Republican,party,0.915,will-the-republicans-win-the-idaho-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-idaho-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.085,will-the-democrats-win-the-idaho-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-idaho-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.832162+00:00
IL,Illinois,illinois-senate-election-winner,https://polymarket.com/event/illinois-senate-election-winner,Democrat,party,0.925,will-the-democrats-win-the-illinois-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-illinois-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.041,will-the-republicans-win-the-illinois-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-illinois-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.832961+00:00
