fec_candidate_id,candidate_name,state,party,committee_id,committee_name,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_start_date,coverage_end_date,cycle,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,candidate_contribution,other_receipts,last_report_type_full,last_report_year,is_principal_committee,source_endpoint
S6ID00146,"ACHILLES, TODD BAKER",ID,IND,C00909309,TODD ACHILLES FOR IDAHO,412743.66,280248.03,140788.55,140788.55,0.0,2025-07-01T00:00:00,2026-03-31T00:00:00,2026,402243.66,336233.9,66009.76,10500.0,0.0,APRIL QUARTERLY,2026,True,committee_totals
S6MS00109,"ADLAKHA, SARAH ANNE DR",MS,REP,C00900944,SARAH ADLAKHA FOR SENATE,566184.12,556454.75,9729.37,9729.37,547000.0,2025-03-31T00:00:00,2026-02-18T00:00:00,2026,70184.12,65676.0,4508.12,0.0,0.0,PRE-PRIMARY,2026,True,committee_totals
S6LA00706,"ALBARES, NICHOLAS S.",LA,DEM,C00938944,NICHOLAS ALBARES FOR LOUISIANA,70920.59,16884.09,54036.5,54036.5,5275.0,2026-01-01T00:00:00,2026-03-31T00:00:00,2026,65645.59,55760.88,9884.71,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals
S6TX00305,"ALLEN, KEITH",TX,REP,C00886291,KEITH ALLEN 4 CONGRESS,156626.79,157571.33,0.0,0.0,0.0,2025-01-01T00:00:00,2026-03-31T00:00:00,2026,29950.4,24094.68,5855.72,2920.0,0.0,TERMINATION REPORT,2026,True,committee_totals
S6TX00305,"ALLEN, KEITH",TX,REP,C00886291,"KEITH ALLEN 4 SENATE, LLC.",200.0,0.0,944.54,944.54,0.0,2024-10-01T00:00:00,2024-12-31T00:00:00,2024,200.0,0.0,200.0,0.0,0.0,YEAR-END,2024,True,committee_totals
S2MO00775,"ALLEN, ROBERT",MO,REP,C00810820,COMMITTEE TO ELECT ROBERT BULLET ALLEN,823.76,823.76,1324.67,1324.67,0.0,2023-01-01T00:00:00,2024-03-31T00:00:00,2024,449.88,449.88,0.0,373.88,0.0,APRIL QUARTERLY,2024,True,committee_totals
S2MO00775,"ALLEN, ROBERT",MO,REP,C00810820,COMMITTEE TO ELECT ROBERT BULLET ALLEN,13917.94,13167.94,375.0,375.0,0.0,2022-04-01T00:00:00,2022-12-31T00:00:00,2022,750.0,500.0,250.0,13167.94,0.0,YEAR-END,2022,True,committee_totals
S4TX00722,"ALLRED, COLIN",TX,DEM,C00909572,ALLRED FOR TEXAS 2026,7462453.11,7459793.1,2660.01,2660.01,0.0,2025-07-01T00:00:00,2026-03-31T00:00:00,2026,6648544.94,2939731.72,3708813.22,0.0,13136.09,APRIL QUARTERLY,2026,True,committee_totals
S6TX00438,"ALLRED, COLIN",TX,DEM,C00909572,ALLRED FOR TEXAS 2026,7462453.11,7459793.1,2660.01,2660.01,0.0,2025-07-01T00:00:00,2026-03-31T00:00:00,2026,6648544.94,2939731.72,3708813.22,0.0,13136.09,APRIL QUARTERLY,2026,True,committee_totals
S6MT00295,"ALME, KURT",MT,REP,C00942060,ALME FOR SENATE,924643.51,15686.66,908956.85,908956.85,0.0,2026-01-01T00:00:00,2026-03-31T00:00:00,2026,355576.11,350652.17,4923.94,0.0,0.0,APRIL QUARTERLY,2026,True,committee_totals
