action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_dt,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,source_fec_candidate_id,source_candidate_name,source_state,source_party,source_party_normalized,source_scope,source_selected_candidate,source_selection_method,source_manual_override_reason,fetched_for_cycle,fetched_at
A,ADD,N,0.0,,,"{'candidate_id': 'S4AK00214', 'idx': 121183, 'two_year_period': '2026'}",DAN,S4AK00214,SULLIVAN,,"SULLIVAN, DAN",S,00,AK,REP,,,,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00571703', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2015-01-20', 'first_file_date': '2015-01-20', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2026-01-31', 'last_file_date': '2026-04-19', 'name': 'SLF PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '6218 GEORGIA AVENUE NW', 'street_2': 'STE 1 - 595', 'treasurer_name': 'CROSBY, CALEB', 'zip': '200115125'}",C00571703,,,,,,,,2026-03-31,2026-03-31,P2026,,85259.3,2026-03-31,POSTAGE / PRINTING / PRODUCTION,1965775,CALEB,CROSBY,,,,2026-04-15,F3X,F3X-24,202604159862391968,2026-04-15,"CROSBY, CALEB",False,24,4041520261435734961,,,,False,True,,,,187925.97,,MOUNTAIN BROOKE,,,,FINANCE STRATEGIES GROUP LLC,,AL,421 OFFICE PARK DR.,,,35223,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862391968,1965775,Q1,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042420261483438080,S,SE24.25171,S4AK00214,"SULLIVAN, DAN",AK,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:39.442440+00:00
A,ADD,N,0.0,,,"{'candidate_id': 'S4AK00214', 'idx': 121183, 'two_year_period': '2026'}",DAN,S4AK00214,SULLIVAN,,"SULLIVAN, DAN",S,00,AK,REP,,,,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00571703', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2015-01-20', 'first_file_date': '2015-01-20', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2026-01-31', 'last_file_date': '2026-04-19', 'name': 'SLF PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '6218 GEORGIA AVENUE NW', 'street_2': 'STE 1 - 595', 'treasurer_name': 'CROSBY, CALEB', 'zip': '200115125'}",C00571703,,,,,,,,2026-03-31,2026-03-31,P2026,,46000.0,2026-03-31,ONLINE ADVERTISING,1965775,CALEB,CROSBY,,,,2026-04-15,F3X,F3X-24,202604159862391968,2026-04-15,"CROSBY, CALEB",False,24,4041520261435734961,,,,False,True,,,,187925.97,,MOUNTAIN BROOKE,,,,FINANCE STRATEGIES GROUP LLC,,AL,421 OFFICE PARK DR.,,,35223,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862391968,1965775,Q1,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042420261483438079,S,SE24.25170,S4AK00214,"SULLIVAN, DAN",AK,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:39.442739+00:00
A,ADD,N,0.0,,,"{'candidate_id': 'S4AK00214', 'idx': 121183, 'two_year_period': '2026'}",DAN,S4AK00214,SULLIVAN,,"SULLIVAN, DAN",S,00,AK,REP,,,,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00571703', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2015-01-20', 'first_file_date': '2015-01-20', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2026-01-31', 'last_file_date': '2026-04-19', 'name': 'SLF PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '6218 GEORGIA AVENUE NW', 'street_2': 'STE 1 - 595', 'treasurer_name': 'CROSBY, CALEB', 'zip': '200115125'}",C00571703,,,,,,,,2026-02-19,2026-02-19,P2026,,6666.67,2026-02-19,ONLINE ADVERTISING,1965775,CALEB,CROSBY,,,,2026-04-15,F3X,F3X-24,202604159862391963,2026-04-15,"CROSBY, CALEB",False,24,4041520261435734961,,,,False,True,,,,187925.97,,MOUNTAIN BROOKE,,,,FINANCE STRATEGIES GROUP LLC,,AL,421 OFFICE PARK DR.,,,35223,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862391963,1965775,Q1,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042420261483438069,S,SE24.25041,S4AK00214,"SULLIVAN, DAN",AK,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:39.442857+00:00
A,ADD,N,0.0,,,"{'candidate_id': 'S4AK00214', 'idx': 121183, 'two_year_period': '2026'}",DAN,S4AK00214,SULLIVAN,,"SULLIVAN, DAN",S,00,AK,REP,,,,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00571703', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2016, 2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2016, 2018, 2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2015-01-20', 'first_file_date': '2015-01-20', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2026-01-31', 'last_file_date': '2026-04-19', 'name': 'SLF PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '6218 GEORGIA AVENUE NW', 'street_2': 'STE 1 - 595', 'treasurer_name': 'CROSBY, CALEB', 'zip': '200115125'}",C00571703,,,,,,,,2026-02-02,2026-02-02,P2026,,50000.0,2026-02-02,ONLINE ADVERTISING,1965775,CALEB,CROSBY,,,,2026-04-15,F3X,F3X-24,202604159862391958,2026-04-15,"CROSBY, CALEB",False,24,4041520261435734961,,,,False,True,,,,187925.97,,MOUNTAIN BROOKE,,,,FINANCE STRATEGIES GROUP LLC,,AL,421 OFFICE PARK DR.,,,35223,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862391958,1965775,Q1,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042420261483438059,S,SE24.25031,S4AK00214,"SULLIVAN, DAN",AK,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:39.442969+00:00
A,ADD,N,,,,"{'candidate_id': 'S4AK00214', 'idx': 121183, 'two_year_period': '2026'}",DAN,S4AK00214,SULLIVAN,,"SULLIVAN, DAN",S,00,AK,REP,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00678839', 'committee_type': 'W', 'committee_type_full': 'Hybrid PAC (with Non-Contribution Account) - Qualified', 'cycle': 2026, 'cycles': [2018, 2020, 2022, 2024, 2026], 'cycles_has_activity': [2018, 2020, 2022, 2024, 2026], 'cycles_has_financial': [2018, 2020, 2022, 2024, 2026], 'designated_agent_city': 'WASHINGTON', 'designated_agent_first_name': 'DANI', 'designated_agent_last_name': 'NEGRETE', 'designated_agent_middle_name': None, 'designated_agent_name': 'NEGRETE, DANI', 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': 'DC', 'designated_agent_street1': 'PO BOX 43135', 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': 'ASSISTANT TREASURER', 'designated_agent_zip': '20010', 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2018-05-15', 'first_file_date': '2018-05-15', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2022-02-02', 'last_file_date': '2026-04-30', 'name': 'INDIVISIBLE ACTION', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': 'PO BOX 43135', 'street_2': None, 'treasurer_name': 'RAMEY, ELIZABETH', 'zip': '20010'}",C00678839,,,,,,,,2025-07-07,2025-07-07,P2026,,15475.83,2025-07-07,DIGITAL ADS,1912652,ELIZABETH,RAMEY,,,,2025-08-20,F3X,F3X-24,202508209789764097,2025-08-20,"RAMEY, ELIZABETH",False,24,4082120251219154040,,,,False,True,,,,15475.83,,BROOKLYN,,,,BLUE STATE DIGITAL,,NY,41 FLATBUSH AVE,FL 8,,112171160,https://docquery.fec.gov/cgi-bin/fecimg/?202508209789764097,1912652,M8,2025,SE,ITEMIZED INDEPENDENT EXPENDITURES,4082220251219296021,O,500223383,S4AK00214,"SULLIVAN, DAN",AK,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:39.443095+00:00
A,ADD,N,0,,,"{'candidate_id': 'S4AR00103', 'idx': 121245, 'two_year_period': '2026'}",THOMAS,S4AR00103,COTTON,,"COTTON, THOMAS",S,00,AR,REP,,,,,"{'affiliated_committee_name': 'COTTON VICTORY', 'candidate_ids': [], 'city': 'ALEXANDRIA', 'committee_id': 'C00728667', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2020, 2022, 2024, 2026], 'cycles_has_activity': [2020, 2022, 2024, 2026], 'cycles_has_financial': [2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2019-11-25', 'first_file_date': '2019-11-25', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-24', 'last_file_date': '2026-04-14', 'name': 'AMERICA ONE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'VA', 'state_full': 'Virginia', 'street_1': 'PO BOX 26421', 'street_2': None, 'treasurer_name': 'HOBBS, CABELL', 'zip': '22313'}",C00728667,,,,,,,,2026-03-02,2026-03-02,P2026,,74600.0,2026-03-02,TEXT MESSAGES,1961426,CABELL,HOBBS,,,,2026-04-14,F3X,F3X-24,202604149857155449,2026-03-04,"HOBBS, CABELL",False,24,4041420261435644122,,,,False,True,,,,665400.0,,PALM BEACH,,,,NORTH COUNTRY STRATEGIES LLC,,FL,230 SUNRISE AVE STE B-314,,,34480,https://docquery.fec.gov/cgi-bin/fecimg/?202604149857155449,1961426,Q1,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042420261483438279,S,SE24.7,S4AR00103,"COTTON, THOMAS",AR,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:44.576538+00:00
A,ADD,N,0,,,"{'candidate_id': 'S4AR00103', 'idx': 121245, 'two_year_period': '2026'}",THOMAS,S4AR00103,COTTON,,"COTTON, THOMAS",S,00,AR,REP,,,,,"{'affiliated_committee_name': 'COTTON VICTORY', 'candidate_ids': [], 'city': 'ALEXANDRIA', 'committee_id': 'C00728667', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2020, 2022, 2024, 2026], 'cycles_has_activity': [2020, 2022, 2024, 2026], 'cycles_has_financial': [2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2019-11-25', 'first_file_date': '2019-11-25', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-24', 'last_file_date': '2026-04-14', 'name': 'AMERICA ONE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'VA', 'state_full': 'Virginia', 'street_1': 'PO BOX 26421', 'street_2': None, 'treasurer_name': 'HOBBS, CABELL', 'zip': '22313'}",C00728667,,,,,,,,2026-02-06,2026-02-10,P2026,,20000.0,2026-02-06,MEDIA PRODUCTION,1947691,CABELL,HOBBS,,,,2026-02-19,F3X,F3X-24,202602199834758313,2026-02-06,"HOBBS, CABELL",False,24,4021920261309031039,,,,False,True,,,,590800.0,,ARLINGTON,,,,FULL REACH MEDIA GROUP LLC,,VA,PO BOX 101552,,,22210,https://docquery.fec.gov/cgi-bin/fecimg/?202602199834758313,1947691,12P,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4031220261421388425,S,SE24.4,S4AR00103,"COTTON, THOMAS",AR,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:44.576652+00:00
A,ADD,N,0,,,"{'candidate_id': 'S4AR00103', 'idx': 121245, 'two_year_period': '2026'}",THOMAS,S4AR00103,COTTON,,"COTTON, THOMAS",S,00,AR,REP,,,,,"{'affiliated_committee_name': 'COTTON VICTORY', 'candidate_ids': [], 'city': 'ALEXANDRIA', 'committee_id': 'C00728667', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2020, 2022, 2024, 2026], 'cycles_has_activity': [2020, 2022, 2024, 2026], 'cycles_has_financial': [2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2019-11-25', 'first_file_date': '2019-11-25', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2025-01-24', 'last_file_date': '2026-04-14', 'name': 'AMERICA ONE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'VA', 'state_full': 'Virginia', 'street_1': 'PO BOX 26421', 'street_2': None, 'treasurer_name': 'HOBBS, CABELL', 'zip': '22313'}",C00728667,,,,,,,,2026-02-06,2026-02-10,P2026,,570800.0,2026-02-06,MEDIA PLACEMENT,1947691,CABELL,HOBBS,,,,2026-02-19,F3X,F3X-24,202602199834758313,2026-02-06,"HOBBS, CABELL",False,24,4021920261309031039,,,,False,True,,,,590800.0,,ARLINGTON,,,,FULL REACH MEDIA GROUP LLC,,VA,PO BOX 101552,,,22210,https://docquery.fec.gov/cgi-bin/fecimg/?202602199834758313,1947691,12P,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4031220261421388424,S,SE24.3,S4AR00103,"COTTON, THOMAS",AR,REP,REP,selected,True,highest_total_receipts,,2026,2026-05-03T14:08:44.576702+00:00
A,ADD,N,0,,,"{'candidate_id': 'S6AK00276', 'idx': 125207, 'two_year_period': '2026'}",MARY,S6AK00276,PELTOLA,,"PELTOLA, MARY",S,00,AK,DEM,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00802389', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2026, 'cycles': [2022, 2024, 2026], 'cycles_has_activity': [2022, 2024, 2026], 'cycles_has_financial': [2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2022-01-25', 'first_file_date': '2022-01-25', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2022-12-22', 'last_file_date': '2026-04-17', 'name': 'GIVEGREEN UNITED ACTION', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '740 15TH ST NW', 'street_2': '7TH FLOOR', 'treasurer_name': 'SONEKAN, TITI', 'zip': '20005'}",C00802389,,,,,,,,2026-02-25,2026-02-05,P2026,,53.33,2026-02-25,EMAIL MESSAGING,1955146,TITI,SONEKAN,,,,2026-03-20,F3X,F3X-24,202603209853663017,2026-03-11,"SONEKAN, TITI",False,24,4032020261424792494,,,,False,True,,,,93.33,,BETHESDA,,,,NEW BLUE INTERACTIVE,,MD,5138 NEWPORT AVE,,,208163025,https://docquery.fec.gov/cgi-bin/fecimg/?202603209853663017,1955146,M3,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4032420261425260038,S,500548831,S6AK00276,"PELTOLA, MARY",AK,DEM,DEM,selected,True,highest_total_receipts,,2026,2026-05-03T13:32:11.288709+00:00
A,ADD,N,0,,,"{'candidate_id': 'S6AK00276', 'idx': 125207, 'two_year_period': '2026'}",MARY,S6AK00276,PELTOLA,,"PELTOLA, MARY",S,00,AK,DEM,,,,,"{'affiliated_committee_name': 'RED TO BLUE CA', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00704593', 'committee_type': 'V', 'committee_type_full': 'Hybrid PAC (with Non-Contribution Account) - Nonqualified', 'cycle': 2026, 'cycles': [2020, 2022, 2024, 2026], 'cycles_has_activity': [2020, 2022, 2024, 2026], 'cycles_has_financial': [2020, 2022, 2024, 2026], 'designated_agent_city': None, 'designated_agent_first_name': None, 'designated_agent_last_name': None, 'designated_agent_middle_name': None, 'designated_agent_name': None, 'designated_agent_phone_number': None, 'designated_agent_prefix': None, 'designated_agent_state': None, 'designated_agent_street1': None, 'designated_agent_street2': None, 'designated_agent_suffix': None, 'designated_agent_title': None, 'designated_agent_zip': None, 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2019-04-30', 'first_file_date': '2019-04-30', 'is_active': True, 'last_cycle_has_activity': 2026, 'last_cycle_has_financial': 2026, 'last_f1_date': '2024-10-25', 'last_file_date': '2026-04-20', 'name': 'BLUE BATTLEGROUND PROJECT', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '122 C ST NW', 'street_2': 'STE 360', 'treasurer_name': 'PETTERSON, JAY', 'zip': '20001'}",C00704593,,,,,,,,2026-02-24,2026-01-06,P2026,,5000.0,2026-02-24,TEXT MESSAGES,1954669,JAY,PETTERSON,,,,2026-03-20,F3X,F3X-24,202603209853642819,2026-03-20,"PETTERSON, JAY",False,24,4032020261424792062,,,NON-CONTRIBUTION ACCOUNT,False,True,,,,0.0,,DOVER,,,,ACTIVATE CHANGE LLC,,DE,8 THE GRN,,,199013618,https://docquery.fec.gov/cgi-bin/fecimg/?202603209853642819,1954669,M3,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4032020261424834087,S,500092788,S6AK00276,"PELTOLA, MARY",AK,DEM,DEM,selected,True,highest_total_receipts,,2026,2026-05-03T13:32:11.288960+00:00
