state,dem_candidate_name,dem_fec_candidate_id,dem_committee_id,dem_total_receipts,dem_total_disbursements,dem_cash_on_hand,dem_debts_owed_by_committee,dem_coverage_end_date,dem_selection_method,rep_candidate_name,rep_fec_candidate_id,rep_committee_id,rep_total_receipts,rep_total_disbursements,rep_cash_on_hand,rep_debts_owed_by_committee,rep_coverage_end_date,rep_selection_method,direct_money_data_pulled_at,notes,dem_minus_rep_total_receipts,dem_minus_rep_cash_on_hand
AK,"PELTOLA, MARY",S6AK00276,C00933978,8661662.38,2934553.61,5727108.77,0.0,2026-03-31T00:00:00,highest_total_receipts,"SULLIVAN, DAN",S4AK00214,C00570994,6500847.42,1505699.66,7086052.55,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952526+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2160814.960000001,-1358943.7800000003
AL,"SWEETSER, KYLE",S6AL00435,C00901777,154502.42,139185.61,15316.81,16421.89,2026-03-31T00:00:00,highest_total_receipts,"BRITT, KATIE BOYD",S2AL00145,C00781443,2354118.85,1240070.25,5223597.3,30327.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952580+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-2199616.43,-5208280.49
AR,"SHOFFNER, HALLIE",S6AR00199,C00905471,1589764.37,1011034.49,578729.88,0.0,2026-03-31T00:00:00,highest_total_receipts,"COTTON, THOMAS",S4AR00103,C00499988,5406039.51,3069823.75,9787085.59,73959.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952613+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-3816275.1399999997,-9208355.709999999
AZ,"KELLY, MARK",S0AZ00350,C00696526,35276811.97,17370707.12,22308538.42,0.0,2026-03-31T00:00:00,highest_total_receipts,"LAKE, KARI",S4AZ00220,C00852343,365326.02,112031.56,471507.94,1007764.01,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952641+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,34911485.949999996,21837030.48
CA,"SCHIFF, ADAM",S4CA00555,C00343871,7793490.82,4210120.6,9964396.84,0.0,2026-03-31T00:00:00,highest_total_receipts,"BRADLEY, JAMES",S8CA00515,C00674085,1175.01,17727.56,499.69,245.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952667+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,7792315.8100000005,9963897.15
CO,"HICKENLOOPER, JOHN W.",S0CO00575,C00716720,6818283.07,4217907.35,4036008.7,0.0,2026-03-31T00:00:00,highest_total_receipts,"JOSHI, JANAK",S6CO00440,C00910794,485402.64,192985.78,292416.86,350100.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952693+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,6332880.430000001,3743591.8400000003
CT,"MURPHY, CHRISTOPHER S",S2CT00132,C00492645,12504647.66,6792067.91,11239354.61,0.0,2026-03-31T00:00:00,highest_total_receipts,"COREY, MATTHEW MCKINNON",S8CT00121,C00878561,0.0,7217.4,0.0,10000.0,2025-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952719+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,12504647.66,11239354.61
DE,"COONS, CHRISTOPHER A.",S0DE00092,C00475392,3044649.37,1100177.83,4129671.39,0.0,2026-03-31T00:00:00,highest_total_receipts,"SHULLI, JOHN",S6DE00198,C00933663,100728.71,15021.49,85707.22,100000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952744+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2943920.66,4043964.17
FL,"WEIL, JOSHUA JOSEPH",S6FL00756,C00893321,15933478.15,15933478.15,0.0,0.0,2025-09-30T00:00:00,highest_total_receipts,"MOODY, ASHLEY",S6FL00640,C00895763,8407063.8,1277671.65,7129392.15,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952769+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,7526414.35,-7129392.15
GA,"OSSOFF, T. JONATHAN",S8GA00180,C00718866,57270664.6,30525198.99,31736032.32,0.0,2026-03-31T00:00:00,highest_total_receipts,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",S6GA00366,C00857128,50250930.0,2234.41,50248695.59,50250000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952791+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,7019734.6000000015,-18512663.270000003
