state,selected_candidate_name_dem,selected_candidate_name_rep,fec_candidate_id_dem,fec_candidate_id_rep,committee_id_dem,committee_id_rep,total_receipts_dem,total_receipts_rep,total_disbursements_dem,total_disbursements_rep,cash_on_hand_dem,cash_on_hand_rep,debts_owed_by_committee_dem,debts_owed_by_committee_rep,coverage_end_date_dem,coverage_end_date_rep,selection_method_dem,selection_method_rep
AK,"PELTOLA, MARY","MURKOWSKI, LISA",S6AK00276,S4AK00099,C00933978,C00384529,8661662.38,9319257.3,2934553.61,9685516.06,5727108.77,657686.46,0.0,0.0,2026-03-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
AL,"JONES, DOUG","BRITT, KATIE BOYD",S0AL00156,S2AL00145,C00368472,C00781443,161239.0,11353922.19,161237.0,9645190.71,0.0,1708731.48,0.0,30327.0,2002-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
AR,"SHOFFNER, HALLIE","COTTON, THOMAS",S6AR00199,S4AR00103,C00905471,C00499988,1589764.37,13911690.06,1011034.49,13814166.59,578729.88,215874.0,0.0,447694.0,2026-03-31T00:00:00,2014-12-31T00:00:00,highest_total_receipts,highest_total_receipts
AZ,"KELLY, MARK","LAKE, KARI",S0AZ00350,S4AZ00220,C00696526,C00852343,101106583.88,26141656.57,99704060.42,25923443.09,1402523.46,218213.48,0.0,696535.25,2020-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
CA,"SCHIFF, ADAM","EARLY, ERIC",S4CA00555,S4CA00639,C00343871,C00837526,48149196.78,904178.95,62791130.49,902113.52,6381026.62,2065.43,0.0,160635.57,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
CO,"HICKENLOOPER, JOHN W.","O'DEA, JOSEPH MATTHEW",S0CO00575,S2CO00241,C00716720,C00791186,44246118.41,10139932.44,42604035.39,10039067.15,1642083.02,100865.29,0.0,3909443.27,2020-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
CT,"MURPHY, CHRISTOPHER S","COREY, MATTHEW MCKINNON",S2CT00132,S8CT00121,C00492645,C00878561,12786118.05,257655.82,11192236.99,250438.42,5526774.86,7217.4,0.0,10000.0,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
DE,"BLUNT ROCHESTER, LISA","O'DONNELL, CHRISTINE",S4DE00060,S6DE00131,C00843391,C00449595,9934497.35,7422781.0,9790040.17,6999106.0,144457.18,424130.0,0.0,507.0,2024-12-31T00:00:00,2010-12-31T00:00:00,highest_total_receipts,highest_total_receipts
FL,"WEIL, JOSHUA JOSEPH","SCOTT, RICK SEN",S6FL00756,S8FL00273,C00893321,C00676965,15933478.15,85231716.47,15933478.15,83771112.48,0.0,1460603.73,0.0,0.0,2025-09-30T00:00:00,2018-12-31T00:00:00,highest_total_receipts,highest_total_receipts
GA,"WARNOCK, RAPHAEL","CLEMENT, CHRISTINA LOREN REV DR TRUSTE",S0GA00559,S6GA00366,C00736876,C00857128,206593947.75,50250930.0,223503096.73,2234.41,5853836.45,50248695.59,0.0,50250000.0,2022-12-31T00:00:00,2026-03-31T00:00:00,highest_total_receipts,highest_total_receipts
HI,"SCHATZ, BRIAN","MCDERMOTT, ROBERT",S4HI00136,S2HI00155,C00540732,C00800656,6109936.0,23225.25,5156058.0,23587.97,953877.0,-244.64,0.0,4000.0,2014-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
IA,"GREENFIELD, THERESA","ERNST, JONI K",S0IA00176,S4IA00129,C00708164,C00546788,56358302.21,27686921.36,56328075.88,28521656.12,30236.33,528414.93,188223.01,0.0,2020-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
ID,"ROTH, DAVID JORDAN","CRAPO, MICHAEL D",S6ID00138,S8ID00027,C00839720,C00330886,104431.35,4821698.11,100581.05,6517722.51,665.77,2386367.66,7822.08,0.0,2024-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
IL,"KRISHNAMOORTHI, S","TRACY, DON",S6IL00482,S6IL00615,C00904466,C00917120,31390858.87,2327334.3,28237935.72,783936.04,3152923.15,1543398.26,116248.28,2000000.0,2026-03-31T00:00:00,2026-03-31T00:00:00,highest_total_receipts,highest_total_receipts
IN,"DONNELLY, JOSEPH S","YOUNG, TODD CHRISTOPHER",S2IN00091,S6IN00191,C00393652,C00459255,14585917.72,10976445.53,15800916.06,9618042.78,173872.55,3736894.96,0.0,0.0,2018-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
KS,"SPIDEL NEUMANN, SANDY","MARSHALL, ROGER W",S6KS00262,H6KS01179,C00923474,C00576173,187436.34,6761143.55,149326.67,7159470.55,38109.67,209958.86,100000.0,0.0,2026-03-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
KY,"BOOKER, CHARLES","MCCONNELL, MITCH",S0KY00420,S2KY00012,C00783274,C00193342,6556072.38,68086057.7,6549782.03,64869812.45,6290.35,6811701.29,122089.79,0.0,2022-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
LA,"JOHN, CHRIS","KENNEDY, JOHN NEELY",S4LA00040,S4LA00065,C00394445,C00608398,4893113.0,34338881.57,4869165.0,30119860.38,23947.0,9906579.67,132113.0,0.0,2004-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MA,"WARREN, ELIZABETH","DEATON, JOHN",S2MA00170,S4MA00358,C00500843,C00870337,42506349.0,2244282.53,42211677.0,2195946.43,294671.0,48336.1,68000.0,1003301.65,2012-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MD,"TRONE, DAVID","HOGAN, LARRY",S4MD00319,S4MD00483,C00653196,C00869016,63833136.59,12249553.37,64032401.51,12096243.56,3841.43,153309.81,73680994.0,718190.06,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
ME,"GIDEON, SARA","COLLINS, SUSAN M.",S0ME00111,S6ME00159,C00709899,C00314575,75629137.16,27861513.88,64069682.74,29194046.17,11559504.42,1295192.48,0.0,0.0,2020-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MI,"SLOTKIN, ELISSA","JAMES, JOHN",S4MI00470,S8MI00372,C00834218,C00651208,51937060.2,48745978.35,51654344.82,47642565.64,282715.38,1611367.59,0.0,0.0,2024-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MN,"SMITH, TINA","HOUSLEY, KARIN",S8MN00578,S8MN00586,C00663781,C00664219,16468404.53,4697809.09,16100431.77,4682067.29,801755.36,15741.43,0.0,18618.8,2020-12-31T00:00:00,2018-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MO,"KUNCE, LUCAS","HAWLEY, JOSHUA DAVID SEN",S2MO00528,S8MO00160,C00771972,C00652727,23184061.38,13808806.06,23143129.3,17492872.3,48214.18,298262.88,41764.2,0.0,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MS,"ESPY, MICHAEL","WICKER, ROGER SEN.",S8MS00287,S8MS00196,C00675884,C00443218,12320919.34,7420578.92,12439496.96,6979484.06,175593.08,2994748.81,0.0,0.0,2020-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
MT,"TESTER, R. JON","DAINES, STEVE",S6MT00162,S2MT00096,C00412304,C00491357,89837646.72,31879414.77,91956782.19,33221808.14,765623.57,107782.97,0.0,44813.08,2024-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NC,"BEASLEY, CHERI","TILLIS, THOM R SEN",S2NC00497,S4NC00162,C00777904,C00545772,38948343.76,23277928.68,38900975.97,24468464.55,47367.79,834908.56,0.0,0.0,2022-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
ND,"CHRISTIANSEN, KATRINA","CRAMER, KEVIN MR.",S2ND00123,S8ND00120,C00852467,C00504704,3066029.91,6031115.66,3057770.69,6231101.27,8259.22,195522.33,0.0,0.0,2024-12-31T00:00:00,2018-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NE,"NELSON, E BENJAMIN","RICKETTS, PETE",S6NE00095,S6NE00129,C00432401,C00414375,2653918.0,13424896.0,3794536.0,13417690.0,309417.0,7204.0,0.0,7575000.0,2012-12-31T00:00:00,2006-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NH,"HASSAN, MARGARET WOOD","BOLDUC, DONALD C.",S6NH00091,S0NH00326,C00588772,C00711010,37045597.33,3977080.92,39201166.63,3955562.93,124100.13,53698.5,357101.35,0.0,2022-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NJ,"BOOKER, CORY A.","ZIMMER, DICK",S4NJ00185,S6NJ00131,C00540500,C00302646,18368139.0,8253612.0,17521163.0,8238181.0,846977.0,15390.0,5266.0,109598.0,2014-12-31T00:00:00,1996-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NM,"HEINRICH, MARTIN","DOMENICI, NELLA LOUISE LOUISE",S2NM00088,S4NM00183,C00434563,C00865956,10731410.2,7013192.46,11549995.0,6941534.89,319551.15,71657.57,0.0,2800000.0,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NV,"CORTEZ MASTO, CATHERINE","LAXALT, ADAM",S6NV00200,S2NV00324,C00575548,C00787135,60613860.94,19001999.6,60637548.91,18497242.9,3001181.98,504756.7,0.0,0.0,2022-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
NY,"CLINTON, HILLARY RODHAM","SPENCER, JOHN D",S0NY00188,S6NY00243,C00358895,C00412817,39833526.0,5849610.0,34358255.0,5660688.0,11021087.0,188919.0,93363.0,419058.0,2006-12-31T00:00:00,2006-12-31T00:00:00,highest_total_receipts,highest_total_receipts
OH,"BROWN, SHERROD","MORENO, BERNIE",S6OH00163,S4OH00192,C00916288,C00837484,25979968.48,26414101.15,8951326.24,26035781.44,17028642.24,378319.71,0.0,8470685.25,2026-04-15T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
OK,"BROYLES, ABBY","HERN, KEVIN",S0OK00370,S6OK04247,C00725762,C00943142,2089401.41,8284047.86,2062803.89,67761.21,39996.45,8216286.65,19114.48,5050000.0,2020-12-31T00:00:00,2026-03-31T00:00:00,highest_total_receipts,highest_total_receipts
OR,"WYDEN, RONALD L.","SMITH, DAVID BROCK",S6OR00110,S6OR05218,C00308676,C00941559,10512321.06,24083.96,9392743.56,288.96,3345924.99,23795.0,0.0,28234.62,2022-12-31T00:00:00,2026-03-31T00:00:00,highest_total_receipts,highest_total_receipts
PA,"FETTERMAN, JOHN KARL","OZ, MEHMET DR",S6PA00274,S2PA00638,C00765800,C00795930,76336560.56,50956276.74,75709210.74,49269122.74,627349.82,1687154.0,3720.0,27078782.81,2022-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
RI,"WHITEHOUSE, SHELDON","MORGAN, PATRICIA L",S6RI00221,S4RI00085,C00410803,C00846014,6587257.0,296201.28,6428954.0,296451.28,158304.0,0.0,250000.0,41627.71,2006-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
SC,"HARRISON, JAIME","GRAHAM, LINDSEY O.",S0SC00289,S0SC00149,C00696153,C00458828,132685669.57,107740149.28,132350242.9,98449650.73,335426.67,12491457.75,2266.0,0.0,2020-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
SD,"BEAUDION, JULIAN C","THUNE, JOHN R.",S6SD01125,S2SD00068,C00901694,C00409581,192473.04,7547602.66,185994.34,4017841.44,6478.7,16942232.64,14458.22,0.0,2026-03-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
TN,"JOHNSON, GLORIA","HAGERTY, BILL",S4TN00526,S0TN00169,C00847400,C00718627,7585464.44,15772577.38,7442979.73,15717518.79,142484.71,55058.59,0.0,3028444.75,2024-12-31T00:00:00,2020-12-31T00:00:00,highest_total_receipts,highest_total_receipts
TX,"TALARICO, JAMES","CRUZ, RAFAEL EDWARD  TED",S6TX00479,S2TX00312,C00919084,C00492785,40284109.15,74050030.94,30425243.8,75643604.41,9858865.35,1786707.2,0.0,0.0,2026-03-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
UT,"GLEICH, CAROLINE","LEE, MIKE",S4UT00308,S0UT00165,C00865253,C00473827,1236418.9,10885232.67,1211608.64,10478792.75,24810.26,955824.1,11504.01,0.0,2024-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
VA,"KAINE, TIMOTHY MICHAEL","CAO, HUNG",S2VA00142,S4VA00353,C00495358,C00802488,18308453.68,9832460.01,19299348.47,9517135.17,2799510.0,407805.63,0.0,0.0,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
VT,"WELCH, PETER","MCMULLEN, JOHN A",S2VT00235,S8VT00059,C00795252,C00334029,5390836.54,730988.0,3431166.48,736086.0,1959670.06,1216.0,0.0,338640.0,2022-12-31T00:00:00,2004-12-31T00:00:00,highest_total_receipts,highest_total_receipts
WA,"MURRAY, PATTY","GARCIA, DR RAUL",S2WA00189,S4WA00581,C00257642,C00844688,16112355.03,773708.95,19036980.2,773708.95,558340.18,0.0,0.0,0.0,2022-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
WI,"BALDWIN, TAMMY","JOHNSON, RON HAROLD MR.",S2WI00219,S0WI00197,C00326801,C00482984,50228545.14,34920572.47,53242337.24,34717800.96,25266.85,762104.84,0.0,10754003.83,2024-12-31T00:00:00,2022-12-31T00:00:00,highest_total_receipts,highest_total_receipts
WV,"SWEARENGIN, PAULA JEAN","CAPITO, SHELLEY MOORE",S0WV00215,S4WV00159,C00708891,C00539825,2064982.41,7860642.0,1998997.19,8781918.0,65985.22,682236.0,0.0,0.0,2020-12-31T00:00:00,2014-12-31T00:00:00,highest_total_receipts,highest_total_receipts
WY,"MORROW, SCOTT D MR","BARRASSO, JOHN A",S4WY00188,S6WY00068,C00881300,C00436386,45707.29,7761388.01,44872.92,4520535.91,834.37,7728428.59,0.0,0.0,2024-12-31T00:00:00,2024-12-31T00:00:00,highest_total_receipts,highest_total_receipts
